Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
413,Estudiantes de Buenos Aires,Nicolás Ortíz,0,1,,0,78.46,
414,Estudiantes de Río Cuarto,Gonzalo Maffini,0,0,,0,69.7,
415,Colegiales,Martín Rodríguez Gómez,0,0,,0,44.26,
416,Deportivo Morón,Julio Salvá,0,0,,0,79.55,
417,Agropecuario Argentino,Enzo Silcan,0,1,,0,73.08,
418,San Martín de Tucumán,Ulises Vera,0,2,,0,73.68,
419,San Telmo,Agustín Rufinetti,0,0,,0,82.55,
420,Deportivo Maipú,Pio Bonacci,1,2,,0,57.58,
421,All Boys,Octavio Bianchi,0,1,,0,55,
422,Defensores Unidos,Alejandro Sánchez,0,0,,0,76,
423,Tristán Suárez,Mauro Fernández,0,3,,0,75,
424,Deportivo Morón,Fabricio Damián Sanguinetti Fernández,0,4,,0,59.09,
425,Almagro,Martín García,0,3,,0,60.87,
426,Tristán Suárez,Santiago Magnotta,0,0,,0,100,
427,San Martín de Tucumán,Matias Garcia,0,0,,0,83.56,
428,Güemes,Mariano Bettini,0,1,,0,65.38,
429,Deportivo Madryn,Bruno Perez,0,2,,0,79.55,
430,Defensores de Belgrano,Brian Gómez,0,0,,0,72.58,
431,Quilmes Atlético Club,Maximiliano Padilla,0,1,,0,73.42,
432,Mitre,Javier Ezequiel Martínez,0,1,,0,77.78,
433,Deportivo Maipú,Luciano Paredes,0,2,,0,75.68,
434,Deportivo Maipú,Gastón Mansilla,0,1,,0,82.43,
435,Central Norte de Salta,Matias Sanchez,0,1,,0,67.31,
436,Los Andes,Brian Leizza,0,0,,0,79.78,
437,Los Andes,Mauricio Asenjo,0,3,,0,71.11,
438,Atlanta,Jorge Valdez,0,3,,0,66.1,
439,Colegiales,Lautaro Torres,0,5,,0,77.78,
440,Arsenal de Sarandí,Matías Lucero,0,9,,0,80.85,
441,Estudiantes de Río Cuarto,Martín Garnerone,0,1,,1,70.59,
442,San Miguel,Gino Peruzzi,0,1,,0,100,
443,Club Atlético Chacarita Juniors,Lucas Brochero,0,1,,0,72.73,
444,Tristán Suárez,Angel David Sayago,0,3,,0,82.35,
445,Gimnasia Jujuy,Cristian Menéndez,0,1,,0,60,
446,All Boys,Alexis Melo,0,0,,0,71.43,
447,Deportivo Maipú,Matias Villarreal,0,0,,0,75.51,
448,San Miguel,Diego Sosa,0,1,,0,78.26,
449,San Miguel,Matias Rojas,0,0,,0,95.83,
450,Defensores Unidos,Martín Caballo,0,0,,0,0,
451,Central Norte de Salta,Antú Hernández,0,3,,0,54.76,
452,San Telmo,Lautaro Cesar,0,2,,0,68.97,
453,All Boys,Yago De Vito,0,0,,0,0,
454,Atlanta,Jonathan Bauman,1,2,,0,75.61,
455,San Telmo,Iñaki Lartirigoyen,1,7,,0,66.67,
456,Racing de Córdoba,Gianfranco Ferrero,0,1,,1,53.19,
457,Racing de Córdoba,Braian Rivero,0,0,,0,80,
458,Club Atletico Colón,José Barreto,0,5,,0,56.52,
459,Club Atlético Chacarita Juniors,Antonio Napolitano,0,1,,0,69.23,
460,Talleres Remedios de Escalada,Damián Tello,0,0,,0,83.72,
461,Racing de Córdoba,Joaquín Mattalia,0,0,,0,85.29,
462,San Martín de Tucumán,Nahuel Cainelli,0,1,,0,72.22,
463,Deportivo Madryn,Abel Bustos,0,2,,0,83.56,
464,Estudiantes de Río Cuarto,Fabio Vazquez,0,2,,0,70.97,
465,Agropecuario Argentino,Milton Leyendeker,0,0,,0,84.07,
466,Nueva Chicago,Martín Argüello,0,1,,0,70,
467,San Telmo,Leonel Pollacchi,0,0,,0,83.16,
468,Club Atlético Chacarita Juniors,Gabriel Valentín Chocobar,0,2,,0,92.73,
469,Arsenal de Sarandí,Ciro Rius,0,5,,0,73.17,
470,Estudiantes de Río Cuarto,Sergio Ojeda,0,0,,0,84.88,
471,Almirante Brown,Samuel Portillo,1,1,,0,0,
472,San Martín de Tucumán,Gabriel Hachen,0,0,,1,56.52,
473,Atlanta,Marcos Damián Echeverría,0,1,,1,0,
474,Gimnasia y Tiro de Salta,Keko Villalva,0,1,,0,0,
475,Temperley,Javier Toledo,0,0,,0,0,
476,All Boys,Leandro Desábato,0,0,,0,78.26,
477,Patronato,Gonzalo Asis,0,0,,0,65.22,
478,Deportivo Madryn,Gonzalo Torres,0,0,,0,0,
479,Alvarado,Joaquin Susvielles,0,0,,0,0,
480,Talleres Remedios de Escalada,David Achucarro,0,1,,0,72.22,
481,Talleres Remedios de Escalada,Luciano Zannier,0,0,,0,0,
482,Almirante Brown,Ramón González,0,0,,0,0,
483,Talleres Remedios de Escalada,Isaías Ciavarelli,0,1,,0,42.86,
484,Racing de Córdoba,Wilfredo Olivera,0,0,,0,67.35,
485,Gimnasia Jujuy,Francisco Molina,0,1,,0,58.33,
486,Atlanta,Rodrigo Rámirez,0,0,,0,0,
487,Defensores de Belgrano,Fabían Dauwalder,0,0,,0,0,
488,Chaco For Ever,Imanol Enriquez,0,1,,0,0,
489,Colegiales,Tomas Almada,0,0,,0,0,
490,San Martín de Tucumán,Mateo Facundo Pérez,0,0,,0,0,
491,Agropecuario Argentino,Braian Aranda,0,1,,0,68.75,
492,Almagro,Tomás Castro Ponce,0,0,,0,78.57,
493,San Martín de Tucumán,Juan Cruz Esquivel,0,3,,0,57.69,
494,Club Ferro Carril Oeste,Agustín Alonso,0,2,,0,73.33,
495,Club Atlético Chacarita Juniors,Víctor Figueroa,0,0,,0,0,
496,Defensores de Belgrano,Nicolás Borsotti,0,0,,0,0,
497,Almagro,Joel Orlando,0,3,,0,62.5,
498,Gimnasia y Esgrima Mendoza,Fermin Antonini,0,0,,0,77.78,
499,Estudiantes de Río Cuarto,Mauricio Tevez,0,1,,0,72,
500,Club Atlético Chacarita Juniors,Santiago Apa,0,0,,0,0,
501,Chaco For Ever,Brian Guerra,0,2,,0,0,
502,Gimnasia Jujuy,José Vanetta,0,0,,0,0,
503,Estudiantes de Buenos Aires,Delfor Minervino,0,1,,0,0,
504,Deportivo Maipú,Lucas Vallejo,0,0,,0,70,
505,Estudiantes de Río Cuarto,Federico Álvarez,0,10,,0,64.44,
506,Gimnasia Jujuy,Franco Nahuel Camargo,0,0,,0,58.49,
507,Chaco For Ever,David Valdez,0,0,,0,75,
508,Güemes,Lucas Chiozza,0,3,,0,69.23,
509,Mitre,Emiliano Encina,0,1,,0,0,
510,Racing de Córdoba,Gonzalo Martin Rostagno,0,0,,0,52,
511,Talleres Remedios de Escalada,Federico López,0,3,,0,51.16,
512,Chaco For Ever,Lucas Gabriel Rebecchi,0,0,,0,33.33,
513,Estudiantes de Buenos Aires,Diego Agustin Pazzelli,0,2,,0,69.23,
514,San Telmo,Rodrigo Alejandro Sosa,0,1,,0,61.11,
515,Almirante Brown,Santiago Gauna,0,1,,0,79.55,
516,Club Atlético Chacarita Juniors,Rodrigo Salinas,0,0,,0,78.57,
517,Temperley,Fernando Brandan,0,5,,0,60.87,
518,Estudiantes de Buenos Aires,Franco Quinteros,0,1,,0,78.85,
519,Gimnasia Jujuy,Jeremias Perales,0,1,,0,84.21,
520,San Telmo,Elías Britez,0,3,,0,76.71,
521,Talleres Remedios de Escalada,Franco Vedoya,0,3,,0,66.67,
522,Nueva Chicago,Gonzalo Manuel Soto,0,0,,0,92.52,
523,Gimnasia y Esgrima Mendoza,Jere Rodríguez,0,1,,0,75.41,
524,Deportivo Maipú,Diego Yavante Gaitán,0,4,,0,82.05,
525,Gimnasia y Tiro de Salta,Facundo Heredia,0,2,,0,66.67,
526,Almagro,Ulises Yegros,0,0,,0,74.19,
527,Quilmes Atlético Club,Juan Capano,0,4,,0,55.56,
528,Nueva Chicago,Ramón Alberto Villalba,0,1,,0,89.47,
529,Güemes,Maximiliano Álvarez,0,2,,0,59.38,
530,Central Norte de Salta,Pedro Sanz,0,1,,0,52.27,
531,Atlanta,Lautaro Fedele,0,4,,0,74.36,
532,Quilmes Atlético Club,Esteban Glellel,0,0,,0,72.73,
533,Nueva Chicago,Facundo Ferrero,0,0,,0,82.69,
534,Güemes,Pablo Palacios,0,0,,0,66.67,
535,Defensores Unidos,Francisco Di Franco,0,3,,0,89.83,
536,Tristán Suárez,Mauricio Guzmán,0,0,,0,67.05,
537,Gimnasia Jujuy,Fernando Duré,0,2,,0,67.57,
538,All Boys,Ignacio Palacio,0,2,,0,73.77,
539,Mitre,Juan Bonet,0,1,,0,53.33,
540,Club Atletico Colón,Tomas Gallay,0,3,,0,71.43,
541,Gimnasia Jujuy,Diego López,0,1,,0,80.95,
542,Defensores Unidos,Alejandro Toledo,0,1,,0,46.67,
543,All Boys,Ignacio Figueroa,0,1,,0,72.88,
544,Agropecuario Argentino,Milton Ramos,0,0,,0,78.72,
545,San Telmo,Renzo Uriburu,0,2,,0,84,
546,Estudiantes de Río Cuarto,Juan Antonini,0,0,,0,70.73,
547,Atlanta,Erik Bodencer,0,1,,0,0,
548,Central Norte de Salta,Tiago Banega,0,1,,0,73.08,
549,Deportivo Morón,Jonathan Berón,0,5,,0,65.22,
550,Almagro,Axel Rodriguez,0,0,,0,0,
551,Nueva Chicago,Julian Rodriguez,0,1,,0,76.47,
552,Deportivo Madryn,Juan Peinipil,0,0,,0,53.85,
553,San Martín de Tucumán,Federico Murillo,0,4,,0,28.57,
554,Deportivo Morón,Renzo Reynaga,0,1,,0,0,
555,Deportivo Madryn,Agustín Sosa,0,1,,0,71.43,
556,Gimnasia y Esgrima Mendoza,Mario Galeano,0,0,,0,75,
557,San Miguel,Federico Sena,0,4,,0,86.21,
558,Agropecuario Argentino,Matías Molina,0,0,,0,89.66,
559,Mitre,Marcos Machado,0,0,,0,0,
560,Racing de Córdoba,Nicolás Agustín Sánchez,0,2,,0,70.73,
561,Estudiantes de Buenos Aires,Jorge Correa,0,1,,0,69.23,
562,Estudiantes de Río Cuarto,Tomás González,0,4,,1,72.13,
563,Club Ferro Carril Oeste,Sergio Quiroga,0,3,,0,78.95,
564,Gimnasia y Tiro de Salta,Matías Morello,0,2,,0,84.21,
565,Alvarado,Thomas Amilivia,0,1,,0,81.82,
566,All Boys,Claudio Campostrini,0,0,,0,50,
567,Talleres Remedios de Escalada,Sergio Modon,0,4,,0,51.92,
568,Defensores Unidos,Agustín Osinaga,0,0,,0,75.53,
569,Central Norte de Salta,Emiliano Blanco,0,3,,0,67.44,
570,Arsenal de Sarandí,Talo Colletta,0,0,,0,64,
571,San Telmo,Leandro Ojeda,0,3,,0,55.36,
572,San Telmo,Matias Salerno,1,5,,0,73.68,
573,Club Atletico Colón,Genaro Rossi,0,0,,0,0,
574,San Martín de Tucumán,Franco García,0,1,,0,100,
575,Agropecuario Argentino,Juan Martin Ginzo,0,0,,0,0,
576,Alvarado,Marco Borgnino,0,0,,0,80,
577,Racing de Córdoba,Lautaro Villegas,0,0,,0,0,
578,Nueva Chicago,Julián Eseiza,0,0,,0,0,
579,Patronato,Joaquín Varela,0,0,,0,30,
580,Gimnasia y Tiro de Salta,Luis Olivera,0,0,,0,0,
581,Almagro,Carlo Lattanzio,0,1,,0,0,
582,Deportivo Morón,Matías Cortave,0,0,,0,0,
583,Almagro,Renzo Conechny,0,0,,0,0,
584,Talleres Remedios de Escalada,Martín Batallini,0,0,,0,50,
585,Alvarado,Derlis Ortiz,0,0,,0,0,
586,Deportivo Maipú,Juan Cruz Arno,0,0,,0,0,
587,Quilmes Atlético Club,Julian Gurzi,0,3,,0,61.29,
588,Almagro,Leonel Barrionuevo,0,0,,0,90,
589,Quilmes Atlético Club,Ramiro Nicolás Martínez,0,1,,0,0,
590,Gimnasia y Tiro de Salta,Walter Busse,0,0,,0,0,
591,Almirante Brown,Cristian Varela,0,0,,0,0,
592,Mitre,Mariano Penepil,0,0,,0,0,
593,Güemes,Tomás Martínez,0,0,,0,0,
594,San Martín de Tucumán,Exequiel Nicolás Moreno,0,0,,0,40,
595,Gimnasia y Esgrima Mendoza,Ian Benjamín Ortiz,0,0,,0,0,
596,Almirante Brown,Diego Andrés Perea Tapias,0,0,,0,0,
597,Colegiales,Joaquin Cancio,0,0,,0,0,
598,Defensores Unidos,Diego Espindola,0,0,,0,0,
599,Nueva Chicago,Ignacio Rodríguez,0,0,,0,0,
600,Arsenal de Sarandí,Fabián Bordagaray,0,0,,0,0,
601,Estudiantes de Río Cuarto,Matías Ruiz Díaz,0,1,,0,50,
602,Club Atletico Colón,Óscar Garrido,0,0,,0,0,
603,Club Atletico Colón,Federico Jourdan,0,7,,0,69.7,
604,Mitre,Axel Batista,0,0,,0,71.43,
605,San Martín de Tucumán,Franco Quiroz,0,0,,0,66.67,
606,Alvarado,Christian Martinez,0,0,,0,77.78,
607,Defensores de Belgrano,Ignacio Rossi,0,0,,0,0,
608,Deportivo Madryn,Matías Nouet,0,1,,0,75,
609,Almirante Brown,Matías Belloso,0,0,,0,0,
610,Racing de Córdoba,Maximiliano Gutiérrez,0,1,,0,64.71,
611,Talleres Remedios de Escalada,Patricio Romero,0,3,,0,65.91,
612,Estudiantes de Buenos Aires,Santiago Briñone,0,0,,0,0,
613,Los Andes,Brian Quintana,0,0,,0,0,
614,Talleres Remedios de Escalada,Matías Domínguez,0,1,,0,90,
615,Los Andes,Facundo Villarreal,0,2,,0,68.75,
616,Talleres Remedios de Escalada,Gabriel Rocha,0,1,,0,81.13,
617,Chaco For Ever,Mateo Díaz Chaves,0,1,,0,68.75,
618,Nueva Chicago,Nahuel Roldán,0,2,,0,65.22,
619,Estudiantes de Río Cuarto,Valentin Fenoglio,0,1,,0,61.11,
620,Deportivo Maipú,Mirko Bonfigli,0,2,,0,76.92,
621,San Miguel,Jorge Emanuel Juárez,0,2,,0,76.19,
622,Los Andes,Gabriel Cañete,0,0,,0,70.37,
623,Racing de Córdoba,Raúl Chamorro,0,7,,0,65.38,
624,Quilmes Atlético Club,Federico Héctor Pérez,0,5,,0,75.44,
625,Los Andes,Federico Martínez,0,0,,0,45.45,
626,Güemes,Walter Juárez,0,0,,0,68.12,
627,Agropecuario Argentino,Brian Rojas,0,4,,0,74.55,
628,Estudiantes de Buenos Aires,Tomás Squie,0,1,,0,0,
629,Arsenal de Sarandí,Matías Flores,0,5,,0,66.67,
630,Los Andes,Enzo Roberto Díaz,0,0,,0,76.32,
631,Temperley,Agustin Toledo,0,1,,0,66.67,
632,Defensores Unidos,Juan Arguello,0,2,,0,69.7,
633,San Miguel,Peter Iván Martínez Grance,0,4,,0,76,
634,Chaco For Ever,Juan Carrizo,0,1,,0,74.29,
635,Almagro,Aldo Jesús Rimbelitti,0,0,,0,80.26,
636,San Telmo,Santiago Formichelli,0,0,,0,57.14,
637,Colegiales,Sergio Benjamin Gimenez,0,0,,0,85.71,
638,Gimnasia y Esgrima Mendoza,Enzo Gaggi,0,0,,0,55.56,
639,Quilmes Atlético Club,Oscar Belinetz,0,0,,0,72.22,
640,Estudiantes de Río Cuarto,Agustín Morales,0,0,,0,62.5,
641,Racing de Córdoba,Leonel Barrios,0,0,,0,75,
642,Almagro,Nazareno Diósquez,0,0,,0,75.76,
643,Arsenal de Sarandí,Ignacio Sabatini,0,0,,0,0,
644,Patronato,Lautaro Valentín Pereyra,0,6,,0,62.16,
645,Deportivo Maipú,Tomás Ricardo Rodrigo Silva,0,1,,0,0,
646,Almirante Brown,Juan Manuel Vazquez,0,0,,0,69.77,
647,Estudiantes de Río Cuarto,Lucas Angelini,0,0,,0,72.22,
648,Deportivo Maipú,Franco Saccone,0,2,,1,74.29,
649,All Boys,Ricardo Ramírez,0,0,,0,55.56,
650,Chaco For Ever,Robertino Seratto,0,1,,0,78.95,
651,All Boys,Thiago Ezequiel Calone,0,6,,0,65.91,
652,Los Andes,Nazareno Fernández,0,3,,0,58.42,
653,Nueva Chicago,Elías Machuca,0,0,,0,78.95,
654,Talleres Remedios de Escalada,Nelson Acevedo,0,0,,0,0,
655,Club Ferro Carril Oeste,Tiago Esidín,0,0,,0,0,
656,San Miguel,Gustavo Turraca,0,0,,0,90.91,
657,Quilmes Atlético Club,Lucas Romeo,0,0,,0,0,
658,Chaco For Ever,Joaquín Mateo,0,0,,0,0,
659,Temperley,Pablo Casarico,0,0,,0,60.87,
660,San Telmo,Martiniano Compagnucci,0,0,,0,73.33,
661,Agropecuario Argentino,Francisco Ruiz,0,0,,0,0,
662,Racing de Córdoba,Fabrizio Ghiggia,0,0,,0,53.85,
663,Gimnasia y Esgrima Mendoza,Nahuel Octavio Barboza,0,0,,0,0,
664,Talleres Remedios de Escalada,Sebastián Ezequiel Gallardo Surdo,0,0,,0,58.33,
665,Estudiantes de Buenos Aires,Sebastián Ramírez,0,0,,0,60,
666,Los Andes,Matias Gomez,0,0,,0,0,
667,Agropecuario Argentino,Diego Vásquez,0,3,,0,77.78,
668,Temperley,Lucas Richarte,0,0,,0,64.29,
669,Deportivo Morón,Lautaro Disanto,0,0,,0,0,
670,Atlanta,Tomás Díaz,0,2,,0,77.78,
671,Deportivo Morón,Santiago Kubiszyn Fernández,0,0,,0,90.14,
672,Estudiantes de Buenos Aires,Dario Rostagno,0,0,,0,0,
673,Defensores Unidos,Lautaro Ceratto,0,2,,0,65.85,
674,San Telmo,Juan Yangali,0,1,,0,87.5,
675,Almirante Brown,Tomás Almada,0,2,,0,85,
676,Talleres Remedios de Escalada,Máximiliano Rodríguez,0,1,,0,65.85,
677,Almagro,Ángel González,0,1,,0,0,
678,San Telmo,Agustin Alejandro Maidana Salinas,0,1,,0,73.68,
679,Nueva Chicago,Diego Arroyo,0,3,,0,64.29,
680,Almagro,Lucas Baldunciel,0,0,,1,67.74,
681,Estudiantes de Río Cuarto,Agustín Fontana,0,0,,0,0,
682,Alvarado,Facundo Russo,0,1,,0,55.56,
683,Arsenal de Sarandí,Valentín Serrano,0,0,,0,0,
684,San Martín de Tucumán,Gonzalo Rodríguez,0,0,,0,0,
685,Los Andes,Lucas Barrientos,0,0,,0,80.95,
686,Talleres Remedios de Escalada,Franco Pulicastro,0,0,,0,82.35,
687,Quilmes Atlético Club,Federico Mazzurco,0,0,,0,0,
688,Almirante Brown,Tomas Villoldo,0,0,,0,86.96,
689,Patronato,Emanuel Moreno,0,0,,0,0,
690,Almagro,Mariano Gancedo,0,2,,0,62.86,
691,Estudiantes de Buenos Aires,Santiago Borges,0,0,,0,0,
692,Tristán Suárez,Ezequiel Almirón,0,0,,0,0,
693,San Telmo,Gonzalo Aquilino,0,3,,0,63.16,
694,Colegiales,Guillermo Gabriel Villalba,0,1,,0,65.52,
695,Talleres Remedios de Escalada,Ricardo Dichiara,0,1,,0,54.17,
696,Quilmes Atlético Club,Enzo Kalinski,0,2,,0,75.51,
697,Racing de Córdoba,Julián Vignolo,0,3,,0,66.67,
698,Estudiantes de Río Cuarto,Gabriel Gudiño,0,0,,0,66.67,
699,Almirante Brown,William Machado,0,0,,0,71.79,
700,Gimnasia y Tiro de Salta,Leonel Buter,0,0,,0,0,
701,San Telmo,Sebastián Cocimano,0,0,,0,66.67,
702,Deportivo Madryn,Pedro Velurtas,0,1,,0,70.59,
703,Racing de Córdoba,Axel Oyola,0,0,,0,0,
704,Agropecuario Argentino,David Gallardo,0,2,,0,0,
705,Tristán Suárez,Francisco Nouet,0,0,,0,78.57,
706,Talleres Remedios de Escalada,Luciano Sánchez,0,0,,0,66.67,
707,Almirante Brown,Jonathan Zacaria,0,0,,0,70.83,
708,Almirante Brown,Natan Acosta,0,0,,0,63.33,
709,Almagro,Emiliano González,0,0,,0,0,
710,Talleres Remedios de Escalada,Diego Nakache,0,0,,0,0,
711,San Miguel,Ezequiel Parnisiari,0,0,,0,68,
712,Agropecuario Argentino,Facundo Horacio Sánchez,,0,,,0,
713,Arsenal de Sarandí,Esteban Fernández,1,,,0,,
714,Defensores de Belgrano,Facundo Pereyra,1,,,0,,
715,San Miguel,Bruno Nasta,1,,,0,,
716,Tristán Suárez,Alexander Sosa,1,,,0,,
717,Estudiantes de Buenos Aires,Augustin Paz,1,,,0,,
718,Alvarado,Ariel Castellano,0,,,1,,
719,Alvarado,Jeremias James,0,,,0,,
720,Los Andes,Francisco Marco,0,0,,0,66.67,
721,Estudiantes de Buenos Aires,Roman Rodriguez,0,,,0,,
722,Alvarado,Lucas Monzón,0,,,0,,
723,Tristán Suárez,Alexis Steimbach,0,,,0,,
724,Los Andes,Tomas Rambert,0,,,0,,
725,Almirante Brown,Diego Perea,0,,,0,,
726,Atlanta,Nicolás Tolosa,0,0,,0,0,
727,Club Ferro Carril Oeste,Nicolás Gómez,0,0,,0,0,
728,Gimnasia y Esgrima Mendoza,Elias Calderón,0,0,,0,0,
729,San Martín de Tucumán,Mateo Pérez,0,,,0,,
730,Arsenal de Sarandí,Facundo Masuero,0,,,0,,
731,Almirante Brown,Joaquín Ibáñez,0,,,0,,
732,Agropecuario Argentino,Danilo Díaz,0,,,0,,
733,Atlanta,Marcos Echeverria,0,,,0,,
734,Deportivo Morón,Fabricio Sanguinetti,0,,,0,,
735,Racing de Córdoba,Nicolas Sanchez,0,,,0,,
736,Colegiales,Valentín Robaldo,0,0,,0,0,
737,Quilmes Atlético Club,Federico Pérez,0,,,0,,
738,Patronato,Valentín Pereyra,0,,,0,,
739,Deportivo Maipú,Lucas Faggioli,0,,,0,,
740,Club Atlético Chacarita Juniors,Valentin Chocobar,0,,,0,,
741,Deportivo Morón,Thiago Lauro,0,,,0,,
742,San Martín de Tucumán,Nicolás Moreno,0,,,0,,
743,San Martín de Tucumán,Ulises Vera,0,,,0,,
744,Gimnasia y Tiro de Salta,Juan Galetto,0,,,0,,
745,Deportivo Morón,Facundo Báez,0,,,0,,
746,Agropecuario Argentino,Francisco Ruiz,0,,,0,,
747,Deportivo Madryn,Juan Daniel Galeano,0,0,,0,0,
748,Colegiales,Lucas Gimenez,0,,,0,,
749,Patronato,Fernando Moreyra,0,,,0,,
750,Chaco For Ever,Lucas Rebecchi,0,,,0,,
751,Quilmes Atlético Club,Edwin Schulz,0,,,0,,
752,Gimnasia y Esgrima Mendoza,Jeremias Puch,0,,,0,,
753,Quilmes Atlético Club,Agustín Bindella,0,,,0,,
754,Club Atletico Colón,Conrado Ibarra,0,,,0,,
755,Colegiales,Ian Rasso,0,0,,0,0,
756,Quilmes Atlético Club,Marcos Roseti,0,,,0,,
757,Chaco For Ever,Matías Romero,0,,,0,,
758,All Boys,Thiago Calone,0,,,0,,
759,Los Andes,Emanuel Diaz,0,,,0,,
760,Talleres Remedios de Escalada,Sebastián Gallardo,0,,,0,,
761,Club Ferro Carril Oeste,Nicolas Montiel,0,0,,0,0,
762,Racing de Córdoba,German Diaz,0,,,0,,
763,Nueva Chicago,Ramon Villalba,0,,,0,,
764,San Telmo,Agustín Maidana,0,,,0,,
765,Nueva Chicago,Tomas Rodriguez,0,,,0,,
766,Racing de Córdoba,Lionel Monti,0,,,0,,
767,Atlanta,José Gómez,0,,,0,,
768,Racing de Córdoba,Julián Vignolo,0,,,0,,
769,Quilmes Atlético Club,Juan Ignacio Capano,0,,,0,,
770,Atlanta,Tomás Rojas,0,,,0,,
771,Club Ferro Carril Oeste,Juan Fernandez Pinto,0,,,0,,
772,San Telmo,Agustín Ojeda,0,,,0,,
773,Almagro,Aldo Rimbelitti,0,,,0,,
774,Alvarado,Nahuel Pereyra,0,0,,0,0,
775,Gimnasia y Esgrima Mendoza,Gaston Espósito,0,,,0,,
776,Atlanta,Chamorro,0,,,0,,
777,Temperley,Juan Gabriel Frias,0,1,,0,0,
778,Gimnasia y Esgrima Mendoza,Benjamín Ortíz,0,,,0,,
779,Gimnasia y Tiro de Salta,Ruben Villarreal,0,0,,0,0,
780,Estudiantes de Buenos Aires,Santiago Monzon,0,,,0,,
781,San Martín de Tucumán,Guillermo Rodriguez,0,,,0,,
782,Gimnasia y Esgrima Mendoza,Nahuel Barboza,0,,,0,,
783,Racing de Córdoba,Nicolás Sánchez,0,,,0,,
784,All Boys,Alejo Rodriguez,0,0,,0,0,
785,Arsenal de Sarandí,Manuel Lopez,0,,,0,,
786,All Boys,Tiago Libares,0,,,0,,
787,San Telmo,Lautaro Johnson,0,,,0,,
788,Defensores Unidos,Rodrigo Juarez,0,,,0,,
789,Deportivo Maipú,Agustin Gaitan,0,,,0,,
790,Defensores de Belgrano,Gonzalo Villafañe,0,,,0,,
791,Talleres Remedios de Escalada,Mateo Munoz,0,,,0,,
792,Almirante Brown,Joaquín Velázquez,0,,,0,,
793,Almirante Brown,Ramon Gonzales,0,,,0,,
794,Deportivo Maipú,Aron Agüero,0,,,0,,
795,Gimnasia Jujuy,Rodrigo Velasquez,0,,,0,,
796,Deportivo Maipú,Tomas Silva,0,,,0,,
797,Tristán Suárez,Mauro Fernandez,0,,,0,,
798,Defensores Unidos,Tomas Ferreyra,0,,,0,,
799,Patronato,Ramon Valentin Villarreal,0,,,0,,
800,Defensores Unidos,Diego Espindola,0,,,0,,
801,Central Norte de Salta,Gonzalo Castilla,0,,,0,,
802,Central Norte de Salta,Matias Moravec,0,,,0,,
803,Deportivo Morón,Joaquin Livera,0,,,0,,
804,San Telmo,Gonzalo Dell Aquila,0,0,,0,0,
805,Almagro,Carlos Lattanzio,0,,,0,,
806,Central Norte de Salta,Agustin Bianciotti,0,,,0,,
807,Central Norte de Salta,Rodrigo Acosta,0,,,0,,
808,Central Norte de Salta,Carlos Battigelli,0,,,0,,
809,Racing de Córdoba,Gonzalo Rostagno,0,,,0,,
810,San Telmo,Rodrigo Sosa,0,,,0,,
811,Almirante Brown,Matías Pérez Acuña,0,,,0,,
